Date,Product,Category,Price,Sales_Quantity,Revenue,Region,Customer_Rating
01-01-2023,Aashirvaad Atta,Food,112,485,54320,East,4.9
01-01-2023,Sunfeast Biscuits,Food,81,750,60750,South,4.4
01-01-2023,Bingo Chips,Food,224,380,85120,North,4.2
01-01-2023,Yippee Noodles,Food,109,921,100389,South,4.6
01-01-2023,Classmate Notebooks,Stationery,267,393,104931,South,4.7
01-01-2023,Fiama Shower Gel,Personal Care,201,326,65526,South,4.4
01-01-2023,Vivel Soap,Personal Care,31,302,9362,North,4.1
01-01-2023,ITC Master Chef Frozen Foods,Food,68,560,38080,West,3.7
01-01-2023,Engage Deodorants,Personal Care,197,832,163904,East,4.2
01-01-2023,Candyman Toffees,Food,60,925,55500,West,4.3
02-01-2023,Aashirvaad Atta,Food,140,534,74760,North,4.4
02-01-2023,Sunfeast Biscuits,Food,176,323,56848,West,4.9
02-01-2023,Bingo Chips,Food,23,291,6693,South,4.1
02-01-2023,Yippee Noodles,Food,62,947,58714,East,4.5
02-01-2023,Classmate Notebooks,Stationery,273,992,270816,North,3.8
02-01-2023,Fiama Shower Gel,Personal Care,59,921,54339,South,4.6
02-01-2023,Vivel Soap,Personal Care,63,155,9765,North,4.4
02-01-2023,ITC Master Chef Frozen Foods,Food,200,451,90200,South,4.7
02-01-2023,Engage Deodorants,Personal Care,211,319,67309,East,4.6
02-01-2023,Candyman Toffees,Food,224,301,67424,West,3.6
03-01-2023,Aashirvaad Atta,Food,222,769,170718,East,4.6
03-01-2023,Sunfeast Biscuits,Food,62,841,52142,West,4
03-01-2023,Bingo Chips,Food,197,429,84513,North,3.9
03-01-2023,Yippee Noodles,Food,24,862,20688,East,3.6
03-01-2023,Classmate Notebooks,Stationery,18,393,7074,West,4.1
03-01-2023,Fiama Shower Gel,Personal Care,72,188,13536,West,3.8
03-01-2023,Vivel Soap,Personal Care,172,468,80496,North,4.7
03-01-2023,ITC Master Chef Frozen Foods,Food,240,90,21600,North,4.9
03-01-2023,Engage Deodorants,Personal Care,277,979,271183,East,3.6
03-01-2023,Candyman Toffees,Food,71,777,55167,West,4.5
04-01-2023,Aashirvaad Atta,Food,223,596,132908,North,4.2
04-01-2023,Sunfeast Biscuits,Food,140,818,114520,East,4.6
04-01-2023,Bingo Chips,Food,264,447,118008,North,4.2
04-01-2023,Yippee Noodles,Food,216,64,13824,West,3.7
04-01-2023,Classmate Notebooks,Stationery,188,624,117312,North,4.8
04-01-2023,Fiama Shower Gel,Personal Care,61,145,8845,North,4.5
04-01-2023,Vivel Soap,Personal Care,240,798,191520,North,4.3
04-01-2023,ITC Master Chef Frozen Foods,Food,45,574,25830,East,3.6
04-01-2023,Engage Deodorants,Personal Care,252,135,34020,South,4.8
04-01-2023,Candyman Toffees,Food,54,623,33642,South,4.5
05-01-2023,Aashirvaad Atta,Food,293,77,22561,West,3.8
05-01-2023,Sunfeast Biscuits,Food,295,380,112100,East,4
